weather_condition,calendar_type,density_count,discount_pct,suggestion_type,dominant_input,rationale_text
Clear,Hari Biasa,0,6.0,discount,density,"Lokasi: 0 tempat wisata di sekitar — area sepi tempat wisata, promo ditingkatkan untuk menarik wisatawan."
Clear,Hari Biasa,1,6.0,discount,density,"Lokasi: 1 tempat wisata di sekitar — area sepi tempat wisata, promo ditingkatkan untuk menarik wisatawan."
Clear,Hari Biasa,2,6.0,discount,density,"Lokasi: 2 tempat wisata di sekitar — area sepi tempat wisata, promo ditingkatkan untuk menarik wisatawan."
Clear,Hari Biasa,3,6.0,discount,density,"Lokasi: 3 tempat wisata di sekitar — area sepi tempat wisata, promo ditingkatkan untuk menarik wisatawan."
Clear,Hari Biasa,4,6.0,discount,density,"Lokasi: 4 tempat wisata di sekitar — area sepi tempat wisata, promo ditingkatkan untuk menarik wisatawan."
Clear,Hari Biasa,5,6.0,discount,density,"Lokasi: 5 tempat wisata di sekitar — area sepi tempat wisata, promo ditingkatkan untuk menarik wisatawan."
Clear,Hari Biasa,6,0.0,discount,weather,Cuaca: Cerah — wisata diprediksi ramai karena cuaca cerah.
Clear,Hari Biasa,7,0.0,discount,weather,Cuaca: Cerah — wisata diprediksi ramai karena cuaca cerah.
Clear,Hari Biasa,8,0.0,discount,weather,Cuaca: Cerah — wisata diprediksi ramai karena cuaca cerah.
Clear,Hari Biasa,9,0.0,discount,weather,Cuaca: Cerah — wisata diprediksi ramai karena cuaca cerah.
Clear,Hari Biasa,10,0.0,discount,weather,Cuaca: Cerah — wisata diprediksi ramai karena cuaca cerah.
Clear,Hari Biasa,11,0.0,discount,weather,Cuaca: Cerah — wisata diprediksi ramai karena cuaca cerah.
Clear,Hari Biasa,12,0.0,discount,weather,Cuaca: Cerah — wisata diprediksi ramai karena cuaca cerah.
Clear,Hari Biasa,13,0.0,discount,weather,Cuaca: Cerah — wisata diprediksi ramai karena cuaca cerah.
Clear,Hari Biasa,14,0.0,discount,weather,Cuaca: Cerah — wisata diprediksi ramai karena cuaca cerah.
Clear,Hari Biasa,15,0.0,discount,density,"Lokasi: 15 tempat wisata di sekitar — area padat tempat wisata, permintaan diprediksi tinggi."
Clear,Hari Biasa,16,0.0,discount,density,"Lokasi: 16 tempat wisata di sekitar — area padat tempat wisata, permintaan diprediksi tinggi."
Clear,Hari Biasa,17,0.0,discount,density,"Lokasi: 17 tempat wisata di sekitar — area padat tempat wisata, permintaan diprediksi tinggi."
Clear,Hari Biasa,18,0.0,discount,density,"Lokasi: 18 tempat wisata di sekitar — area padat tempat wisata, permintaan diprediksi tinggi."
Clear,Hari Biasa,19,0.0,discount,density,"Lokasi: 19 tempat wisata di sekitar — area padat tempat wisata, permintaan diprediksi tinggi."
Clear,Hari Biasa,20,0.0,discount,density,"Lokasi: 20 tempat wisata di sekitar — area padat tempat wisata, permintaan diprediksi tinggi."
Clear,Akhir Pekan,0,1.0,discount,density,"Lokasi: 0 tempat wisata di sekitar — area sepi tempat wisata, promo ditingkatkan untuk menarik wisatawan."
Clear,Akhir Pekan,1,1.0,discount,density,"Lokasi: 1 tempat wisata di sekitar — area sepi tempat wisata, promo ditingkatkan untuk menarik wisatawan."
